key,8,9,10
14,一種生有翅膀的蜥蜴，為了捕食蟲類可以在樹木之間飛行。跳蜥擁有很強的領地意識，一旦有其他動物入侵自己的地盤，它們就會勇敢地前去攻擊，即使對方體型比自己大也毫不在意。在格里達尼亞，也常常用它們的名字來蔑視沒有實力的人。,火屬性魔法傷害,對敵人造成斬擊屬性物理傷害＋擊退
15,分佈在世界各地的中型甲殼生物。其肉質當中含有特殊的臭味，所以很少用於食用。有的個體在長大後也會一直帶著幼年時用於藏身的物品，看起來就如同戴著頭盔一般。,水屬性魔法傷害,對自身施加加速
16,一種兇猛的大螳螂，棲息在南洋群島的熱帶雨林中。跟隨著平原之民的集體遷移而來到了拉諾西亞，通過以當地的野生生物和大意的人類為食實現了數量的急劇增加，如今已經徹底定居了下來。,斬擊屬性物理傷害,對敵人造成無屬性魔法傷害＋物理受傷加重
17,在乙太的作用下，由動物的屍體和腐液或者其他骯髒的廢水中誕生的半魔法生命體。雖說大體上都是偶然出生的，不過也可以通過人工手段創造出來。,無屬性魔法傷害＋召喚者體力吸收,對敵人造成無屬性魔法傷害＋止步
18,憑依在板甲上的一種巨像兵。比較常見的說法認為它們是古代魔法師的傀儡，還有說法認為它們是寄宿有靈魂碎片的亡靈或者是擁有異界靈魂的妖異。這些說法都有可能是事實。,斬擊屬性物理傷害,對己方施加物理攻擊造成傷害提高
19,一種夜行性有翼獸，會將巢建在洞穴或者樹洞之類的陰暗場所。白天時在巢中休息，晚上則飛到外面活動。根據種類的不同，其主食也各異，包括飛蟲、果實、血液等，其糞便自古就用於燃料和肥料當中。,無屬性魔法傷害＋召喚者體力吸收,對敵人造成無屬性魔法傷害＋命中率降低+己方的弱化效果解除
20,一種食蟲植物，分佈在森林和草原之中。能夠偽裝成花瓣，再利用葉面的黏液將接近過來的大型昆蟲抓住，最後再插入根管吸食獵物的體液。過去還曾有愚蠢的人類嘗試將其當作觀葉植物，結果不幸變成了它的溫床。,風屬性魔法傷害＋擊退+中毒,對敵人造成無屬性魔法傷害＋魔法受傷加重
21,一種食肉獸，雙足十分發達，能在大地上飛奔。雖然席茲生有羽毛，不過從博物學來看它們好像與盜龍有一定關係，所以還是被分類為甲鱗綱。體內能生成種類豐富的毒素，進食不同的食物會對它們生成的毒素種類和羽毛顏色產生影響。,冰屬性魔法傷害,對敵人造成無屬性魔法傷害＋石化
22,一種移動性仙人掌，主要生息在乾燥地帶。為了能在嚴苛的環境中生存，一旦感受到威脅就會發射針刺進行防衛。近年來，由於遊樂場以它為主題推出了吉祥物，人們擅自靠近仙人刺已經成了一種社會問題。,突刺屬性物理傷害,對己方施加雙刃劍
23,為沒有生命的泥土和石塊賦予暫時的生命形成的魔法生命體。多是由魔法師人為創造的，但是滿足特定條件，比如因靈災的影響等造成環境乙太混亂之類的情況，也會自然產生。,土屬性魔法傷害,對敵人造成土屬性魔法傷害＋土屬性耐性降低
24,主要棲息在海邊的大型海鳥。使用翅膀遊走在海中，捕食沙丁魚等小型魚類。當感受到危機時會用力吐出胃裡的魚進行攻擊，甚至會更進一步投影出金槍魚等大型魚的幻影進行威懾。,水屬性魔法傷害,對敵人造成水屬性魔法傷害＋減速
25,原產於薩維奈島的巨大陸龜。在第六星曆末期，格里達尼亞為了舉辦活動引進了大量的渡渡鳥蛋，其中混入了一部分精金龜的蛋。它的蛋現在已經是艾歐澤亞著名的三大美味之一。,雷屬性魔法傷害,對己方施加物理受傷減輕+石化耐性提升
26,四肢強健，頭部生有橫著生長的大型犄角。多見於提諾爾卡和拉諾西亞邊境的村莊裡，既能幫助農耕，也能提供食用的肉類，但也有部分個體逃了出去變成了野生水牛。因其巨大的體型，它們的踩踏極具威脅，年輕冒險者在面對它們時多有受傷。,打擊屬性物理傷害,對敵人造成無屬性魔法傷害+眩暈
27,古代尼姆人為了補充食物而用魔法將一種軟體動物進行了巨大化，烏菊石就是當時那個物種的後代。雖然口感挺好，但是幾乎沒什麼味道，所以現代人已經不怎麼吃了。烹調師公會也在嘗試要如何活用此類資源。,冰屬性魔法傷害,對敵人造成無屬性魔法傷害+中毒
28,巨大的環節動物。能通過身體的細微震動將沙子液化，實現在沙子上迅速移動。即便成長，外形上也沒什麼變化，只是一味地變大，所以其體長和年齡是對應的。,土屬性魔法傷害+失明,對敵人造成土屬性魔法傷害+加重
29,出沒於石場和礦山的黑色魔物。根據古籍«百石大鑒»中的記載，其實魔石精是被石頭支配了。於是後人根據這一點將其在物種上劃分到了咒具綱中。另外有些個體似乎還擁有足以理解人類語言的智慧。,火屬性魔法傷害,對敵人造成7次打擊屬性物理攻擊傷害
30,巨大的雙足野獸。頭部生有苔蘚，和下面的本體是共生關係。苔蘚能為宿主提供保護偽裝的效果，同時也要時刻保證水分。餓了的時候會用那大大的嘴將會動的東西全部吃掉，但打噴嚏的時候也會一併吐出來。,打擊屬性物理傷害,對敵人造成無屬性魔法傷害+病弱
31,體型巨大，不過與肥大的身體比起來，四肢略短。會快速伸出黏糊糊的舌頭將甲蟲等大型蟲類整個吞下，畫面震撼。在遠東地區，似乎還有忍者將其近親作為使魔使用。,冰屬性魔法傷害,對敵人造成打擊屬性物理傷害+吸引＋命中率降低
32,原產於南洋的小鳥，色彩鮮豔，造型獨特。據說那奇特形狀的喙是為了吸取花蜜而演化出來的。喜歡發光的物品，有時會學人類說話吸引對方注意，然後趁機從商人之類的手中奪取貴重物品。,突刺屬性物理傷害,對敵人造成5次打擊屬性物理攻擊傷害
33,極其兇猛的四足食肉動物，原產於近東地區。頭部生有兩條能夠自由活動的觸角，看上去就好像長長的鬍鬚。這兩條觸角能夠放出電擊令獵物麻痺，實現高效捕食。人們也會將其作為戰鬥型野獸進行培養，時常能看到海盜使役長鬚豹的情形。,雷屬性魔法傷害,對敵人造成雷屬性魔法傷害+麻痺+雷屬性耐性降低
34,棲息在森林地帶的兩足食肉蜥蜴。雖然不是鳥，不過其狩獵中的迅猛形象經常被比喻成猛禽。另外它們狩獵時也經常結伴而行，所以彼此的關係很深厚。,冰屬性魔法傷害,對敵人造成火屬性魔法傷害+火屬性耐性降低
35,一種兇暴的大型野獸，會用灼熱的火焰吐息將獵物殺死後食用。多是蜥蜴人族的馴獸或者龍族的眷屬。不同種類之間吐息的性質也會有所不同，使用雷電代替火焰作為武器的亞種被稱作雷蛟。,火屬性魔法傷害,對己方施加魔法受傷減輕+火屬性耐性提升
36,可以移動的大樹。平時會偽裝成普通樹木的樣子一動不動，不過需要捕食的時候便會行動起來，並直接將捕獲的動植物放到口中吞掉。一般會在靠近人煙的地方看到它們，因品性溫厚，在黑衣森林中被視為「森林的守護者」。,土屬性魔法傷害+噩夢,對敵人造成風屬性魔法傷害+擊退
37,分佈在乾燥地帶的大型蟻。雖然沒有智慧，但是過著以女王為中心，分工清晰明確的社會化生活。它們在地下築起的巢會隨著群體規模的擴大而不斷擴張，最後內部結構會複雜得像迷宮一樣。擅自進入是很危險的。,突刺屬性物理傷害,對敵人造成減速+對己方施加靈極性耐性提升
38,有著獅子、山羊以及龍頭的異形魔物。背上長著如蝙蝠一樣的翅膀，尾巴又與蠍子的尾巴極其相似，奇美拉擁有著多種魔獸的特徵。作為合成獸代表的「奇美拉」這個詞的來源，就是這種魔獸。,火屬性魔法傷害+目標處於凍結狀態時附加追加傷害,對敵人造成冰屬性魔法傷害+凍結+冰屬性耐性降低
39,移動性大型食獸植物。捕食獵物時，會從捕食器官釋放出強烈的氣味。這種氣味會隨著種類、生息地、捕食的獵物而改變，因此還有人為了追求極致的香氣而飼養它們。,突刺屬性物理傷害,對敵人造成無屬性魔法傷害+減速+失明+麻痺
40,如果人死的時候懷有留戀，靈魂便會既無法升上七天，也無法墜落七獄，只會變成一種浮游體在世間彷徨。這些妖魂看上去像是能夠發動咒言的靈體，不過令人費解的是為什麼會有動物一樣的皮膚。,風屬性魔法傷害+死亡宣告,對敵人造成無屬性魔法傷害+死亡宣告+目標處於病弱狀態時附加追加傷害
41,居住在河底的大型兩棲類生物。平時在水中潛伏，一旦有合適的機會，便會用頭上的發雷器官發動雷擊，在獵物被麻痺後將其整個吞下去。另外它們還會投擲黏性水彈奪取獵物的自由等，攻擊手段豐富多樣。,水屬性魔法傷害,對敵人造成無屬性魔法傷害+魔法受傷加重
42,能夠一口吞下一個成人的巨蛇。生命力極強，因為其血液被認為適合製成鍊金藥，所以人們前仆後繼嘗試將其捕獲，結果大都無功而返。至今無法確認其血液中是否含有有效成分。,突刺屬性物理傷害+中毒,對敵人造成無屬性魔法傷害+石化
43,古代亞拉戈文明以龍族為基礎創造的合成生物。擁有多個腦袋，利用多種吐息招式壓制敵人。另外與龍族不同的是，它們沒有智慧，甚至有時不同的頭之間還會出現對立，上演壯烈的頭頭相殘。,突刺屬性物理傷害,對敵人造成無屬性魔法傷害+病弱
44,擁有一節一節的細長身體和6對翅膀的肉食性飛蟲。領地意識很強，能看到它們以產卵地的水域為中心進行巡邏。有時它們會被大型蒼蠅寄生，能從其腹部採集到幼蟲。,風屬性魔法傷害,對敵人造成無屬性魔法傷害+中毒
45,被不淨的孢子選為苗床的古菩猩猩屍體。隨著菌類在古菩猩猩的體內展開繁殖，它們開始把這個屍體當作玩偶一樣操控，前往下一個繁殖地。這種孢子是否也會對人類造成不良影響，目前學會也尚未得出結論。,土屬性魔法傷害,對敵人造成無屬性魔法傷害+吸引
46,隨著季節進行遷徙的巨大鳥類。第七靈災後不久目擊數量明顯增多，導致市民當中的不安情緒不斷蔓延，烏爾達哈甚至出現了「能將祖一擊致命的劍」等奇奇怪怪的欺詐商品。,打擊屬性物理傷害+移動,對敵人造成風屬性魔法傷害+風屬性耐性降低
47,冰塊中寄宿有短暫生命的魔法生命體。雖然也存在自然產生的個例，但絕大部分都是通過魔法師之手誕生的。還有記錄提到在魔大戰時期，曾有魔法師率領著冰之兵團進行過戰鬥。,冰屬性魔法傷害,對己方施加魔法攻擊造成傷害提高
48,海生的大型甲殼類生物。尾巴尖是剪刀一樣的形狀，可以將捕獲的水棲綱魔物直接切斷，從而品嚐它們的內臟。甚至還有傳說稱它曾潛伏於某條運河中，弄沉了很多船隻，在那裡建起了船隻的墓地。,突刺屬性物理傷害,對敵人造成水屬性魔法傷害+偶爾令目標的體力降至個位數
49,一種吃人的妖花，曾經被認為已經滅絕了。不過在第七靈災時，一部分古代的地層重見天日，可能就導致一些仍然存活的種子再次發育起來，近年來出現了很多關於大王花的目擊報告。另外據說這種花會利用獨特的香氣吸引並操控蜜蜂，似乎有些冒險者對它尤其厭惡。,風屬性魔法傷害,對敵人造成無屬性魔法傷害+死亡宣告
50,肌肉異常發達的食肉動物。因為第七靈災之後才有人發現這種生物，所以人們認為它們是蠻神巴哈姆特的孩子，並起名為「貝希摩斯」。而近年來的主流見解則認為它們是從遙遠的古代就一直存在的生物。,雷屬性魔法傷害,對敵人造成火屬性魔法傷害
