# EXD 表名 → 遊戲內文本位置說明（每行「表名,說明」，# 開頭為註解）
# 來源：https://github.com/Souma-Sumire/FFXIVChnTextPatch-Souma/wiki/CSV文件（轉為繁體）
# 資料夾（rawexd 子目錄，表名以 / 結尾；跳過時整個資料夾生效）
content/,副本任務
GCRankUldahFemaleText,恆輝隊軍銜名（女）
GCRankUldahMaleText,恆輝隊軍銜名（男）
GCShopItemCategory,軍隊商店物品類型
GeneralAction,共通技能
GFateClimbing,金蝶Fate
GFateStelth,金蝶Fate
GilShop,商店
GimmickBill,機關/通緝令
GimmickTalk,機關對話
GimmickYesNo,機關確認
Glasses,面部配飾
GlassesStyle,面部配飾樣式
GoldSaucerArcadeMachine,金蝶小遊戲
GoldSaucerTalk,金蝶小遊戲
GoldSaucerTextData,金蝶小遊戲
GrandCompany,大國防聯軍
GroupPoseFrame,集體動作/銘牌相關
GroupPoseStamp,集體動作/銘牌相關
GroupPoseStampCategory,集體動作/銘牌相關
GroupPoseStampFontColor,集體動作字體顏色
GuardianDeity,守護神
GuidePageString,量譜描述
GuideTitle,量譜描述
GuildleveAssignment,理符發行
GuildleveAssignmentTalk,理符發行
GuildleveEvaluation,理符發行
GuildOrder,行會令
HalloweenNpcSelect,萬聖節NPC
HousingAppeal,房屋相關
HousingEmploymentNpcRace,房屋相關
HousingMateAuthority,房屋相關
HousingMerchantPose,房屋相關
HousingPlacement,房屋相關
HousingPreset,房屋預設
HousingRenovation,房屋風格
HousingUnplacement,房屋相關
HowTo,新手指南
HowToCategory,新手指南
HowToPage,新手指南
Hud,HUD遊戲界面
HugeCraftworksNpc,中庸工藝館
HWDAnnounce,伊修加德重建公告
HWDCrafterSupplyTerm,生產物品重建計劃期數
HWDDevLevelWebText,伊修加德重建
HWDGathereInspectTerm,採集物品重建計劃期數
HWDInfoBoardArticle,伊修加德重建
HWDInfoBoardArticleTransient,伊修加德重建
HWDInfoBoardArticleType,伊修加德重建
HWDInfoBoardBackNumber,伊修加德重建
IKDContentBonus,海釣
IKDPlayerMissionCondition,海釣
IKDRoute,海釣航線
InclusionShop,工票交易
InclusionShopCategory,工票交易類別
InclusionShopWelcomText,工票交易
InstanceContentTextData,副本BOSS台詞
Item,道具
ItemSearchCategory,道具搜索分類
ItemSeries,道具系列
ItemSpecialBonus,道具套裝效果
ItemUICategory,道具分類
JournalCategory,任務日誌分類（大）
JournalGenre,任務日誌分類（小）
JournalSection,任務日誌大類（最大）
LegacyQuest,遺產任務
Leve,理符
LeveAssignmentType,理符遞交類型
LeveClient,理符任務發布人
LeveString,理符
LiveMinigames,小遊戲
Lobby,登錄界面所有文本
LogFilter,消息篩選
LogKind,日誌種類篩選
LogMessage,日誌消息
LotteryExchangeShop,深層迷宮鑑定
MainCommand,快捷指令
MainCommandCategory,快捷命令類別
ManeuversArmor,PVP機甲
Marker,目標標記
MateAuthorityCategory,某種分類
McGuffinUIData,重要物品
MiniGameTurnBreakAction,迷你遊戲
MiniGameTurnBreakStatus,迷你遊戲
MinionRace,萌寵之王寵物類型
MinionRules,迷你遊戲
MinionSkillType,萌寵之王寵物技能類型
MinionStage,迷你遊戲
MJICraftworksObjectTheme,無人島工坊物品類別
MJIDisposalShopUICategory,無人島
MJIHudMode,無人島行動模式
MJIItemCategory,無人島物品類別
MJIProgress,無人島
MJIText,無人島
MKDLore,新月島探索記錄
MKDRelicGrowth2Category,新月島遺物分類
MKDRelicGrowth2ContentList,新月島遺物挑戰筆記
MKDRelicGrowth2Monster,新月島遺物怪物
MKDSupportJob,新月島輔助職業
MonsterNote,討伐筆記
Mount,坐騎
MountTransient,坐騎描述
MultipleHelp,描述
MultipleHelpString,描述
MYCTemporaryItemUICategory,失傳技能庫類別
MYCWarResultNotebook,戰果記錄
NotebookDivision,製作筆記分區
NotebookDivisionCategory,製作筆記分類
NpcYell,NPC喊話
Omikuji,抽籤
OmikujiGuidance,抽籤
OnlineStatus,在線狀態
OpenContentCandidateName,異國的詩人
Orchestrion,樂譜
OrchestrionCategory,樂譜分類
Ornament,時尚配飾
OrnamentTransient,時尚配飾描述
PartyContentTextData,空島
PartyContentTransient,空島
Perform,樂器
PerformGuideScore,樂器
PerformTransient,樂器描述
Pet,召喚獸
PetAction,召喚獸技能
PetMirage,召喚獸投影
PlaceName,地名
Platform,遊玩平台
PlayerSearchLocation,玩家搜索時的地圖地名大類
PlayerSearchSubLocation,玩家搜索時的地圖地名小類
PointMenu,主線的情景小遊戲
PointMenuString,主線的情景小遊戲
PublicContent,永結同心
PublicContentTextData,永結同心
PvPRankTransient,PVP等級描述
PvPSelectTrait,PVP特性
PvPSelectTraitTransient,PVP特性描述
QTE,QTE
Quest,任務
QuestRedoChapterUI,任務相關
QuestRedoChapterUICategory,任務相關
QuestRedoChapterUITab,任務相關
QuestRewardOther,任務特殊獎勵
QuickChat,PVP快捷發言
QuickChatTransient,PVP快捷發言描述
Race,種族
RacingChocoboNameCategory,競賽陸行鳥名稱
RacingChocoboParam,競賽陸行鳥屬性
RecipeSubCategory,重建伊修加德
Relic6Magicite,星座
RelicNoteCategory,探索委託
RetainerTaskRandom,僱員探索委託
RideShootingTextData,金蝶開飛機
SecretRecipeBook,秘籍
SharlayanCraftWorks,薩雷安魔法大學
SkyIsland2Mission,探索雲冠群島
SkyIsland2MissionDetail,探索雲冠群島
Snipe,任務的狙擊小遊戲
SnipeTalk,任務的狙擊小遊戲
SnipeTalkName,任務的狙擊小遊戲
SpearfishingComboTarget,捕魚相關
SpearfishingEcology,捕魚相關
SpearfishingItem,捕魚相關
SpecialShop,特殊兌換物商店
Stain,染劑
Status,狀態
SubmarineExploration,部隊潛艇
SubmarineExplorationLog,部隊潛艇
SubmarineMap,潛水艇海圖
SubmarineSpecCategory,部隊潛艇
TextCommand,文本指令
TextCommandParam,文本指令參數
Title,稱號
TofuEditParam,戰術板相關
TofuObject,戰術板相關
TofuObjectCategory,戰術板相關
TofuPreset,戰術板相關
TofuPresetCategory,戰術板相關
TomestoneConvert,兌換神典石
TopicSelect,特殊道具交易
Town,僱員登記市場
Trait,特性
TraitTransient,特性描述
Treasure,寶箱
Tribe,亞種
TripleTriadCard,九宮幻卡
TripleTriadCardType,九宮幻卡類型
TripleTriadCompetition,九宮幻卡大賽
TripleTriadRule,九宮幻卡規則
VVDNotebookContents,多變迷宮故事
VVDNotebookSeries,多變迷宮系列
VVDVoteRouteLabel,7.4深層迷宮選關文本
Warp,移動點
WarpLogic,移動點
Weather,天氣
WebGuidance,官網連結
WeddingBGM,婚禮BGM
WeeklyBingoText,天書奇談
WKSCosmoToolName,宇宙探索工具
WKSEmergencyInfoText,宇宙探索機制
WKSFateControl,宇宙探索FATE
WKSItemSubCategory,宇宙探索道具分類
WKSMissionText,宇宙探索任務
WKSNextPlanetGuidance,宇宙探索下一個星球提示
WKSPioneeringTrailString,宇宙探索開拓相關
WKSPlanetSelect,宇宙探索選擇星球
WKSPraiseUI,宇宙探索相關界面
WKSText,宇宙探索
XPVPGroupActivity,PVP戰隊
YardCatalogCategory,家具分類
